league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,possesion_home,possesion_away,shoton_home,shoton_away,shotoff_home,shotoff_away,foul_home,foul_away,cross_home,cross_away,corner_home,corner_away,cards_home_yellow,cards_home_red,cards_away_yellow,cards_away_red
1729,2008/2009,1,10260,10261,1,1,1.29,5.5,11.0,1.3,4.75,8.25,1.3,4.4,8.5,1.25,4.5,10.0,,,,1.25,4.5,10.0,1.25,5.0,10.0,1.28,5.5,12.0,1.3,4.75,10.0,1.29,4.5,11.0,55,45,11,1,10,9,16,11,24,9,6,6,3,0,0,0
1729,2008/2009,1,9825,8659,1,0,1.2,6.5,15.0,1.22,5.5,10.0,1.2,5.2,11.0,1.2,5.0,11.0,,,,1.17,5.5,12.0,1.2,5.5,12.0,1.25,6.0,13.0,1.22,5.5,13.0,1.22,5.0,13.0,66,34,12,2,13,3,11,9,21,7,7,5,0,0,0,0
1729,2008/2009,1,8472,8650,0,1,5.5,3.6,1.67,5.0,3.35,1.67,4.5,3.5,1.65,4.5,3.3,1.67,,,,5.5,3.3,1.57,4.33,3.4,1.73,5.5,3.8,1.65,5.0,3.4,1.7,4.5,3.4,1.73,46,54,4,11,3,5,13,12,15,19,1,8,0,0,2,0
1729,2008/2009,1,8654,8528,2,1,1.91,3.4,4.2,1.9,3.2,3.8,1.8,3.3,3.8,1.8,3.2,4.0,,,,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.25,4.0,1.91,3.25,3.8,52,48,5,7,7,15,14,13,15,27,6,10,2,0,1,0
1729,2008/2009,1,10252,8456,4,2,1.91,3.4,4.33,1.95,3.2,3.6,2.0,3.2,3.3,1.83,3.2,3.75,,,,1.91,3.2,3.5,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.25,4.0,1.91,3.3,3.75,52,48,5,9,4,5,11,13,16,16,7,8,0,0,1,0
1729,2008/2009,1,8668,8655,2,3,2.0,3.3,4.0,1.85,3.25,4.0,2.0,3.2,3.3,1.8,3.2,4.0,,,,1.95,3.1,3.5,2.0,3.25,3.4,2.05,3.3,4.0,2.0,3.25,3.75,2.0,3.25,3.5,51,49,2,8,7,8,11,11,14,21,3,4,2,0,2,0
1729,2008/2009,1,8549,8586,2,1,3.2,3.4,2.25,2.8,3.2,2.3,2.9,3.2,2.2,2.8,3.2,2.2,,,,2.9,3.2,2.15,2.88,3.4,2.2,3.2,3.4,2.3,3.0,3.25,2.3,2.8,3.25,2.3,53,47,7,2,5,5,11,11,25,27,7,9,1,0,2,0
1729,2008/2009,1,8559,10194,3,1,1.83,3.5,4.5,1.75,3.3,4.4,1.75,3.3,4.2,1.73,3.4,4.0,,,,1.8,3.1,4.0,1.8,3.2,4.33,1.85,3.4,4.8,1.83,3.25,4.5,1.8,3.25,4.33,47,53,5,1,7,6,14,15,22,29,4,3,1,0,2,0
1729,2008/2009,1,8667,9879,2,1,2.6,3.2,2.8,2.45,3.15,2.65,2.4,3.2,2.6,2.4,3.25,2.5,,,,2.5,2.9,2.62,2.38,3.2,2.75,2.6,3.4,2.8,2.6,3.25,2.6,2.6,3.25,2.5,53,47,5,4,5,6,10,9,16,14,5,6,3,0,0,0
1729,2008/2009,1,8455,8462,4,0,1.33,5.0,10.0,1.3,4.75,8.25,1.3,4.4,8.5,1.29,4.33,9.0,,,,1.3,4.2,8.5,1.25,5.0,10.0,1.33,5.0,11.0,1.33,4.75,9.0,1.33,4.2,10.0,65,35,6,7,10,5,11,8,25,9,8,3,0,0,1,0
1729,2008/2009,10,10260,8654,2,0,1.2,6.0,19.0,1.2,5.5,12.0,1.2,5.2,11.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.2,6.0,17.0,1.2,6.1,19.0,1.2,6.0,13.0,1.22,5.5,12.0,60,40,11,3,8,3,11,15,14,6,3,1,1,0,2,0
1729,2008/2009,10,9825,8586,4,4,1.44,4.5,7.5,1.4,4.0,7.5,1.45,3.7,6.5,1.44,3.6,6.5,,,,1.36,4.0,7.0,1.44,4.1,8.0,1.45,4.4,7.5,1.45,4.0,7.0,1.4,4.0,8.0,62,38,9,3,11,5,9,16,22,14,9,1,1,0,4,0
1729,2008/2009,10,8549,8456,2,0,2.88,3.3,2.5,2.75,3.15,2.35,2.55,3.1,2.55,2.5,3.2,2.5,,,,2.5,3.25,2.4,2.63,3.4,2.6,2.6,3.25,2.4,2.7,3.25,2.5,2.62,3.25,2.5,45,55,5,11,2,5,14,14,14,6,3,3,1,0,3,0
1729,2008/2009,10,8559,8668,0,1,2.6,3.3,2.75,2.45,3.15,2.65,2.3,3.0,2.9,2.38,3.2,2.6,,,,2.38,3.1,2.62,2.6,3.2,2.75,2.6,3.4,2.7,2.5,3.25,2.7,2.4,3.25,2.8,53,47,13,6,6,4,17,13,19,25,5,3,1,0,2,0
1729,2008/2009,10,10194,8472,1,0,2.6,3.3,2.75,2.4,3.15,2.75,2.5,3.0,2.7,2.4,3.25,2.5,,,,2.4,3.1,2.6,2.6,3.2,2.75,2.65,3.35,2.7,2.5,3.25,2.7,2.38,3.25,2.8,52,48,4,4,6,6,12,8,22,11,5,3,2,0,1,0
1729,2008/2009,10,8650,8462,1,0,1.33,5.0,10.0,1.35,4.25,8.0,1.35,4.2,7.5,1.33,4.0,8.0,,,,1.36,3.75,8.0,1.36,4.5,9.5,1.35,4.8,10.0,1.36,4.5,9.0,1.36,4.2,9.0,54,46,9,1,11,3,12,13,21,6,7,1,0,0,3,0
1729,2008/2009,10,10252,8655,3,2,1.67,3.75,5.5,1.6,3.45,5.5,1.75,3.3,4.2,1.73,3.2,4.33,,,,1.67,3.3,4.5,1.67,3.6,5.5,1.65,3.85,5.5,1.7,3.4,5.0,1.67,3.5,5.0,57,43,2,7,5,6,9,17,13,11,4,5,0,0,1,0
1729,2008/2009,10,10261,8659,2,1,1.83,3.5,4.5,1.85,3.25,4.0,1.9,3.2,3.6,1.83,3.2,3.75,,,,1.95,3.25,3.3,1.83,3.4,4.5,1.85,3.45,4.6,1.9,3.3,4.0,1.83,3.5,4.0,51,49,4,5,6,9,15,12,17,15,7,8,0,0,4,0
1729,2008/2009,10,9879,8528,2,0,2.38,3.3,3.0,2.2,3.15,3.05,2.2,3.0,3.1,2.25,3.2,2.75,,,,2.25,3.2,2.75,2.38,3.25,3.0,2.4,3.35,3.0,2.4,3.25,2.8,2.25,3.25,3.0,50,50,1,4,8,4,10,14,12,21,2,2,0,0,2,0
1729,2008/2009,11,10260,8667,4,3,1.17,7.0,17.0,1.17,6.0,13.0,1.17,5.7,12.0,1.2,5.0,11.0,,,,1.17,6.5,19.0,1.17,6.5,19.0,1.17,7.0,19.0,1.18,6.0,17.0,1.17,6.5,13.0,51,49,7,3,9,4,13,13,12,8,9,1,2,0,2,0
1729,2008/2009,11,8586,8650,2,1,3.5,3.3,2.1,3.65,3.2,1.95,3.2,3.1,2.1,3.2,3.2,2.0,,,,3.5,3.3,2.1,3.6,3.4,2.05,3.35,3.5,2.15,3.6,3.35,2.05,3.4,3.2,2.1,49,51,5,5,4,11,17,12,14,14,3,4,1,0,2,0
1729,2008/2009,11,8668,9879,1,0,1.67,3.75,5.5,1.7,3.35,4.65,1.7,3.4,4.3,1.73,3.2,4.33,,,,1.73,3.5,5.0,1.73,3.3,5.5,1.65,3.7,5.8,1.73,3.5,4.75,1.7,3.4,5.0,54,46,5,7,5,9,11,15,33,18,6,5,0,0,0,0
1729,2008/2009,11,8549,8654,1,1,2.0,3.3,4.0,2.05,3.15,3.35,1.9,3.3,3.5,1.91,3.25,3.4,,,,2.05,3.3,3.6,2.0,3.25,4.0,1.95,3.35,4.2,2.0,3.3,3.75,1.91,3.4,3.75,53,47,8,8,5,6,9,17,23,14,4,4,3,0,4,0
